Al49As50Ga;sums-up-to-100;15-13-13;unknown;0
AlBY;half_heusler;13-3-13;210.150305450757;42.2326666666667
Al15Mg44Zn41;sums-up-to-100;12-2-13;unknown;0
Al3As20Ga17;unknown;15-13-13;unknown;0
Al2As25Ga23;unknown;15-13-13;unknown;0
AlAs25Ga24;unknown;15-13-13;unknown;0
AlAs100Ga99;unknown;15-13-13;unknown;0
Al9Ti14V2;unknown;4-5-13;unknown;0
As2Mg3W15;unknown;6-15-2;unknown;0
Li2Ti3Zn;unknown;4-12-1;unknown;0
Mn39Ti19Zr;unknown;4-7-4;unknown;0
Mn3Ti2V;unknown;4-7-5;unknown;0
Ti3V2Zr11;unknown;4-4-5;unknown;0
Mn25Ti37V38;sums-up-to-100;4-7-5;unknown;0
TiV9Zr5;unknown;4-4-5;unknown;0
Mn12Ti9VZr;off-stoichiometric;4-7-4-5;unknown;0
BeRhZr;half_heusler;4-9-2;35831.8931458231;67.7154
MnMoW;half_heusler;6-6-7;17.4115811046581;111.576
TiV20Zr9;unknown;4-4-5;unknown;0
TiV10Zr9;unknown;4-4-5;unknown;0
AlB4Mg;unknown;13-2-13;unknown;0
Mn40Ti18V10Zr7;off-stoichiometric;4-7-4-5;unknown;0
Mg85Y9Zn6;sums-up-to-100;12-2-3;unknown;0
Mn67Ti45V15Zr5;off-stoichiometric;4-7-4-5;unknown;0
Mn13Ti9V7Zr;off-stoichiometric;4-7-4-5;unknown;0
AgMgTi;half_heusler;4-2-11;255.717159829373;60.014
MnTiV;half_heusler;4-7-5;8.64085848829571;51.249
Mn4Ti5V6;unknown;4-7-5;unknown;0
Mn6Ti5V4;unknown;4-7-5;unknown;0
Mn25Ti37V25;unknown;4-7-5;unknown;0
AlBLi;half_heusler;13-1-13;547.774396852365;14.9106666666667
Mn15Ti8Zr2;unknown;4-7-4;unknown;0
Mn133Ti85V30Zr15;off-stoichiometric;4-7-4-5;unknown;0
TiVW;half_heusler;6-4-5;19.5916477680798;94.2163333333333
Ti5V17Zr8;unknown;4-4-5;unknown;0
AlMoTi;half_heusler;4-6-13;9.51417344363843;56.933
BYV;half_heusler;13-5-3;183.440041949316;50.2193333333333
BLiMg;half_heusler;13-2-1;582.715738913328;14.0183333333333
Mn34Ti21V45;sums-up-to-100;4-7-5;unknown;0
Mn31Ti19V50;sums-up-to-100;4-7-5;unknown;0
Mn37Ti23V40;sums-up-to-100;4-7-5;unknown;0
BiLaMo;half_heusler;3-6-15;9.6733162851478;147.946666666667
Bi5LaMo5;unknown;3-6-15;unknown;0
AlGaMg;half_heusler;13-2-13;148.195902156847;40.3366666666667
As1000Ga933Mn67;unknown;15-7-13;unknown;0
As20Ga19Mn;unknown;15-7-13;unknown;0
Al17As100Ga83;unknown;15-13-13;unknown;0
Al11As20Ga9;unknown;15-13-13;unknown;0
Al9As20Ga11;unknown;15-13-13;unknown;0
Al24As25Ga;unknown;15-13-13;unknown;0
GaMgZn;half_heusler;12-13-2;113.267124611061;53.136
Ga14Mg21Zn15;unknown;12-13-2;unknown;0
Ga14Mg27Zn59;sums-up-to-100;12-13-2;unknown;0
Ga6Mg9Zn10;unknown;12-13-2;unknown;0
Ga14Mg19Zn67;sums-up-to-100;12-13-2;unknown;0
AlB14Y;unknown;13-3-13;unknown;0
Al8Mn4Y;unknown;7-3-13;unknown;0
AgGaGe;half_heusler;14-13-11;743.786540006314;83.4076666666667
Al17As50Ga33;sums-up-to-100;15-13-13;unknown;0
Al17As20Ga3;unknown;15-13-13;unknown;0
Al17As20Ga20;unknown;15-13-13;unknown;0
AsErGa;half_heusler;15-13-14;104.402003815264;103.968333333333
Al3BTi;unknown;4-13-13;unknown;0
As241Bi9Ga250;unknown;15-13-15;unknown;0
Al11As50Ga39;sums-up-to-100;15-13-13;unknown;0
Al13As20Ga7;unknown;15-13-13;unknown;0
Al8Mg5Zn7;unknown;12-2-13;unknown;0
AgB2Ti;full_heusler;4-13-11;526.7542554847;44.33925
AlLiMg;half_heusler;2-1-13;14.3654785580573;19.409
AlBMg;half_heusler;13-2-13;383.515833615151;20.699
ErMgZn;half_heusler;12-14-2;57.7128599505731;85.6483333333333
Mg10Y17Zn120;unknown;12-2-3;unknown;0
AlMnTi2;full_heusler;4-7-13;2.72168439776194;44.4135
B15Mo5W2Zr10;off-stoichiometric;6-6-4-13;unknown;0
Al3Mg4Zn3;unknown;12-2-13;unknown;0
Be34Ti41Zr25;sums-up-to-100;4-4-2;unknown;0
Al5Be29Ti41Zr25;off-stoichiometric;4-4-2-13;unknown;0
Al8Be26Ti41Zr25;off-stoichiometric;4-4-2-13;unknown;0
AsGaTi;half_heusler;4-15-13;94.1298053627826;64.1706666666667
Mg35Tb9Zn56;sums-up-to-100;11-12-2;unknown;0
GaMnRu;half_heusler;7-13-8;1336.73946520416;75.2436666666667
AlTiZr;half_heusler;4-4-13;12.9697259036689;55.3576666666667
LiMnRh;half_heusler;7-9-1;44124.1171615652;54.9293333333333
As25Ga24Mn;unknown;15-7-13;unknown;0
AlRu13Zr6;unknown;4-8-13;unknown;0
Al8Ru67Zr25;sums-up-to-100;4-8-13;unknown;0
Al2Mg387Y8Zn3;off-stoichiometric;12-2-3-13;unknown;0
Al13As50Ga37;sums-up-to-100;15-13-13;unknown;0
LaTbZn;half_heusler;11-3-12;224.204254721656;121.073333333333
AgBiMoV;off-stoichiometric;6-11-15-5;unknown;0
TiV3W9;unknown;6-4-5;unknown;0
AlLaZn;half_heusler;3-12-13;4.80843647307067;77.0906666666667
AlBGa;half_heusler;13-13-13;386.920631725806;35.8383333333333
Gd2Mg3Zn3;unknown;12-10-2;unknown;0
Al92Be5Mn3;sums-up-to-100;7-2-13;unknown;0
Al89Be5Mn6;sums-up-to-100;7-2-13;unknown;0
AlBe4Mn;unknown;7-2-13;unknown;0
Al10BeMn3;unknown;7-2-13;unknown;0
Mg96Y3Zn;sums-up-to-100;12-2-3;unknown;0
MgMnY4Zn;off-stoichiometric;12-7-2-3;unknown;0
Al4YZn;unknown;12-3-13;unknown;0
Mg3Y2Zn3;unknown;12-2-3;unknown;0
Al2Mg5Zn2;unknown;12-2-13;unknown;0
Al49Mg32Zn49;unknown;12-2-13;unknown;0
Mg197Y2Zn;unknown;12-2-3;unknown;0
Mg37Y2Zn;unknown;12-2-3;unknown;0
TiV17Zr9;unknown;4-4-5;unknown;0
Al100Ti519V35Zr346;off-stoichiometric;4-4-5-13;unknown;0
Mg6YZn;unknown;12-2-3;unknown;0
Mg22Y2Zn;unknown;12-2-3;unknown;0
AlTiVZr;off-stoichiometric;4-4-5-13;unknown;0
Gd5Mg193Zn2;unknown;12-10-2;unknown;0
Al23Mg75Y2;sums-up-to-100;2-3-13;unknown;0
Al23Dy2Mg75;sums-up-to-100;12-2-13;unknown;0
B943La4Ru907;unknown;3-13-8;unknown;0
BLaRh;half_heusler;3-13-9;28875.8044982781;84.21
MoWZn;half_heusler;6-6-12;17.0765098357331;115.056666666667
Bi5Mo2V3;unknown;6-15-5;unknown;0
Bi5Mo3V2;unknown;6-15-5;unknown;0
Bi5MoV4;unknown;6-15-5;unknown;0
Bi5Mo4V;unknown;6-15-5;unknown;0
Bi2MoV;full_heusler;6-15-5;11.4097123848371;141.213
AlLaMg;half_heusler;3-2-13;5.2189210134755;63.399
Al33As100Ga70;unknown;15-13-13;unknown;0
Mg9683Y200Zn100Zr17;off-stoichiometric;12-4-2-3;unknown;0
Ag37Al48Ti15;sums-up-to-100;4-11-13;unknown;0
Ag19Ti22Zr59;sums-up-to-100;4-4-11;unknown;0
AgAlTi;half_heusler;4-11-13;251.953889907454;60.9063333333333
AgTiZr;half_heusler;4-4-11;194.077643717024;82.3203333333333
Mg17YZn7;unknown;12-2-3;unknown;0
Al4Ti64V;unknown;4-5-13;unknown;0
AlZn2Zr;full_heusler;12-4-13;9.34986624679675;62.2415
AlLaRh;half_heusler;3-9-13;27050.4863755478;89.6006666666667
AlGdRh;half_heusler;10-9-13;25347.3277709983;95.714
AlMn2V;full_heusler;7-5-13;6.99536059637913;46.95
Al8LaMn4;unknown;3-7-13;unknown;0
